iter	MultiClass
0	0.6711841003
1	0.6534395762
2	0.6372214028
3	0.6230108649
4	0.6079265412
5	0.5966848904
6	0.5863704596
7	0.5782354192
8	0.5703867673
9	0.5633084352
10	0.5550023422
11	0.5497718021
12	0.5435014775
13	0.5385610198
14	0.5334693258
15	0.5292405191
16	0.5244880254
17	0.5196436551
18	0.5152856436
19	0.5107327214
20	0.5069585005
21	0.5024377742
22	0.4993995656
23	0.4945221624
24	0.4911244256
25	0.4869528214
26	0.482283565
27	0.479612276
28	0.4779472791
29	0.4752107912
30	0.4725897167
31	0.4689196158
32	0.4653642159
33	0.4623608471
34	0.460049033
35	0.45702841
36	0.4527438394
37	0.4480531157
38	0.4449389604
39	0.4417580937
40	0.4402430861
41	0.4370188364
42	0.4346115558
43	0.4331856823
44	0.4308636971
45	0.4267143988
46	0.424346763
47	0.4219042666
48	0.4198845105
49	0.4180873028
50	0.4159714629
51	0.4123124397
52	0.4101331655
53	0.4074650518
54	0.4052313493
55	0.4037179004
56	0.4009603422
57	0.3976614227
58	0.3953498653
59	0.3917172676
60	0.3903732173
61	0.386814582
62	0.3848482742
63	0.3823583569
64	0.3795891773
65	0.3767447074
66	0.3739944831
67	0.3714333977
68	0.3689554205
69	0.3670588818
70	0.363983977
71	0.3608296258
72	0.3581258301
73	0.3558413873
74	0.3542425814
75	0.3511910936
76	0.3473350235
77	0.3445697553
78	0.3421773181
79	0.3394701166
80	0.3364866379
81	0.3339368709
82	0.3317579691
83	0.3291825713
84	0.3271906701
85	0.325115847
86	0.3215138734
87	0.3179917116
88	0.3151871114
89	0.3134257204
90	0.3118079468
91	0.3092389833
92	0.3062476986
93	0.3043375724
94	0.3023493715
95	0.3002925302
96	0.298755033
97	0.2966897439
98	0.2937333191
99	0.2924972992
100	0.288893656
101	0.2871793728
102	0.285942517
103	0.2846811767
104	0.2822439964
105	0.2804688614
106	0.277035359
107	0.2747452625
108	0.2725386855
109	0.2708816593
110	0.2690600556
111	0.2677966505
112	0.2659805539
113	0.2638375397
114	0.2629143208
115	0.2604208322
116	0.2584035793
117	0.256246694
118	0.254198669
119	0.2525061732
120	0.2511898536
121	0.2493429809
122	0.2479671295
123	0.2464852393
124	0.245458594
125	0.243461343
126	0.2413785557
127	0.2401852347
128	0.2388884629
129	0.2370961883
130	0.2350956334
131	0.2340387375
132	0.2319582686
133	0.2303587813
134	0.2297520511
135	0.2277853595
136	0.2267237237
137	0.2250665812
138	0.2236914191
139	0.2224156794
140	0.2210501327
141	0.2195326347
142	0.2178078169
143	0.2164198212
144	0.2151741307
145	0.2135221774
146	0.2116085398
147	0.2104425572
148	0.2089276995
149	0.2079982903
150	0.2070974916
151	0.2056751385
152	0.2044308065
153	0.2038308855
154	0.2026867337
155	0.2008349662
156	0.1996622672
157	0.1987626633
158	0.1977268733
159	0.1967170136
160	0.1954952002
161	0.1950270879
162	0.1937728063
163	0.1920274046
164	0.1907559785
165	0.1899734858
166	0.188448239
167	0.1875948511
168	0.1866911517
169	0.1854623036
170	0.1842237683
171	0.1830602749
172	0.1816779049
173	0.1808927318
174	0.1799518673
175	0.1794458813
176	0.1789217672
177	0.1774356746
178	0.1769437977
179	0.1756130658
180	0.1747344969
181	0.1730864882
182	0.1722608296
183	0.1712226202
184	0.1707953674
185	0.1700056842
186	0.1688120458
187	0.1680951463
188	0.1670329605
189	0.1658265711
190	0.1646626132
191	0.1638461945
192	0.1628777082
193	0.1623237153
194	0.1616916026
195	0.1605866677
196	0.1599329851
197	0.1590255366
198	0.1583235152
199	0.157464327
200	0.156582102
201	0.1558589643
202	0.1552355808
203	0.1537731048
204	0.1530048649
205	0.1523679205
206	0.1515409367
207	0.150680767
208	0.1501652333
209	0.1488648018
210	0.148196024
211	0.14759257
212	0.1469894317
213	0.1458583683
214	0.1451206048
215	0.1440031073
216	0.1431487932
217	0.142312248
218	0.141666632
219	0.1409342067
220	0.1400685929
221	0.1395683483
222	0.1391051181
223	0.1382899107
224	0.1377251884
225	0.1370680943
226	0.1358305541
227	0.1351126599
228	0.1344756942
229	0.1339241675
230	0.1333447993
231	0.132938871
232	0.132197395
233	0.131876133
234	0.1310551826
235	0.1301922766
236	0.1293205013
237	0.1284584189
238	0.1278476916
239	0.1270860165
240	0.1262134345
241	0.1255773387
242	0.1249844666
243	0.1244203688
244	0.1238552763
245	0.1233895393
246	0.122728391
247	0.1219420789
248	0.1213691548
249	0.1207900551
250	0.1205417585
251	0.1201446199
252	0.1197320478
253	0.1191852859
254	0.1183367551
255	0.1180557297
256	0.1171891389
257	0.1164148694
258	0.1159639498
259	0.1155869631
260	0.1149679982
261	0.114554163
262	0.1140358042
263	0.1136483694
264	0.1132057819
265	0.1127370007
266	0.1122504198
267	0.1118146919
268	0.1112947654
269	0.1109470059
270	0.1105306278
271	0.1101517078
272	0.1099238487
273	0.1095841214
274	0.109100879
275	0.1088142899
276	0.1083808541
277	0.1079360136
278	0.1074762663
279	0.10704952
280	0.1064893322
281	0.1060130407
282	0.1056752782
283	0.1052185052
284	0.1047621042
285	0.1045023019
286	0.1042251257
287	0.1037628481
288	0.1034372277
289	0.1031259714
290	0.1026394312
291	0.1021587092
292	0.1018315573
293	0.1015097794
294	0.1010028708
295	0.1006296789
296	0.1001041914
297	0.09954226072
298	0.09897949174
299	0.09855256294
300	0.09789318348
301	0.09758993391
302	0.09708285887
303	0.09669724539
304	0.09639202195
305	0.09606899
306	0.09561691853
307	0.09513408254
308	0.09492008641
309	0.09441187465
310	0.09394059488
311	0.09372145772
312	0.09326901111
313	0.09277087393
314	0.09225653156
315	0.09183757733
316	0.09149692651
317	0.09117402787
318	0.09094686251
319	0.09053137624
320	0.09019473801
321	0.08992343816
322	0.08959402404
323	0.08914492992
324	0.08882424257
325	0.08818514132
326	0.08781828621
327	0.08736666986
328	0.08702412035
329	0.08685405134
330	0.08665531995
331	0.0862555032
332	0.08556270635
333	0.08506176473
334	0.08480889193
335	0.08448929919
336	0.08419087425
337	0.08372665994
338	0.08350687574
339	0.08313870125
340	0.08282835325
341	0.08244313731
342	0.0820017138
343	0.08173372043
344	0.08138312772
345	0.08097920108
346	0.08056445472
347	0.080285614
348	0.08005787857
349	0.07953572608
350	0.07920079186
351	0.07879400559
352	0.07853713134
353	0.07811988799
354	0.07796232419
355	0.0775177235
356	0.07727635619
357	0.07688794441
358	0.07649964377
359	0.07611887341
360	0.07586382434
361	0.07548760774
362	0.07534083437
363	0.07505136027
364	0.07482558797
365	0.0745930201
366	0.0743079778
367	0.07401668972
368	0.07365474925
369	0.07339751515
370	0.07303711124
371	0.07285303967
372	0.07271066778
373	0.07244319508
374	0.07205916693
375	0.07194339394
376	0.07172301804
377	0.07144651341
378	0.07117993403
379	0.07094391194
380	0.07075324936
381	0.07041952104
382	0.07016494293
383	0.06995619378
384	0.06974250651
385	0.06938620594
386	0.06924925426
387	0.06903514691
388	0.0688665256
389	0.06869815447
390	0.06850928794
391	0.06838956979
392	0.06810849635
393	0.06787853112
394	0.06762726329
395	0.06731588643
396	0.06709344165
397	0.06692843651
398	0.06664948296
399	0.06648598524
400	0.06626191231
401	0.06605058267
402	0.06585339055
403	0.06568128372
404	0.06542775729
405	0.06520837272
406	0.06487716581
407	0.06476568952
408	0.06449701311
409	0.06429223576
410	0.06402403937
411	0.06379130152
412	0.06365115773
413	0.06341782326
414	0.06317958965
415	0.06285646829
416	0.06264227395
417	0.06243587684
418	0.06222580428
419	0.06197995053
420	0.06173895565
421	0.06147250664
422	0.06128654457
423	0.06113321103
424	0.06091085511
425	0.06080976692
426	0.0605968669
427	0.0605056797
428	0.06037516544
429	0.06016226115
430	0.05989660272
431	0.0597306741
432	0.05940877304
433	0.05933558845
434	0.05921793952
435	0.05907643712
436	0.05893917775
437	0.05871300722
438	0.0585387283
439	0.05834305436
440	0.05811217929
441	0.0578578857
442	0.05753786682
443	0.05729835401
444	0.0570300995
445	0.0567839463
446	0.05659770067
447	0.05643163152
448	0.05632918309
449	0.05620751984
450	0.05601776464
451	0.05585159806
452	0.05568541913
453	0.05556879034
454	0.05536944671
455	0.05528176141
456	0.05520311363
457	0.0550188841
458	0.05475973909
459	0.05460901702
460	0.05448998168
461	0.0542918604
462	0.05409293011
463	0.05396485983
464	0.05377799614
465	0.05353277489
466	0.05338708473
467	0.05327442794
468	0.05315576172
469	0.05301199125
470	0.0527855967
471	0.05268053937
472	0.05258272859
473	0.05246409828
474	0.05225366921
475	0.05207004541
476	0.05193366296
477	0.05174916375
478	0.05152119882
479	0.05139110173
480	0.05128949269
481	0.05114971857
482	0.05097066746
483	0.05075923385
484	0.05062441981
485	0.05037206147
486	0.05023988214
487	0.05010236565
488	0.04990902711
489	0.04981795166
490	0.04968174598
491	0.04948158886
492	0.04936576711
493	0.04921330138
494	0.04909403805
495	0.04895366075
496	0.04883589101
497	0.04869017741
498	0.04853822685
499	0.04835184115
500	0.0482088176
501	0.04803916646
502	0.04787338786
503	0.04775098017
504	0.04758646131
505	0.04746417903
506	0.04729582707
507	0.04713985979
508	0.04701399025
509	0.04690322034
510	0.04675547816
511	0.04658917654
512	0.04649755329
513	0.04630500451
514	0.04620363043
515	0.04608566981
516	0.04592894287
517	0.04577449197
518	0.04564478472
519	0.04540290823
520	0.0453041873
521	0.04518930763
522	0.04512705439
523	0.04501868086
524	0.0448930178
525	0.04480268912
526	0.0446235289
527	0.04453804446
528	0.04436802012
529	0.04426216533
530	0.04407031335
531	0.04394957356
532	0.04375909152
533	0.0436938653
534	0.04364287587
535	0.04355826289
536	0.04343121031
537	0.04334279611
538	0.04320287484
539	0.04305622739
540	0.0429212534
541	0.04281071416
542	0.042727773
543	0.04262790284
544	0.04248433402
545	0.04239272019
546	0.04231679733
547	0.04216762767
548	0.04203203267
549	0.04190061811
550	0.0417404245
551	0.04162645256
552	0.04147164531
553	0.04129475804
