iter	Passed	Remaining
0	5	5611
1	10	5465
2	18	6033
3	24	5990
4	31	6229
5	37	6211
6	43	6220
7	50	6260
8	56	6261
9	63	6334
10	68	6161
11	73	6031
12	78	5922
13	81	5754
14	85	5623
15	90	5581
16	95	5534
17	99	5426
18	103	5332
19	107	5249
20	112	5223
21	116	5172
22	120	5117
23	125	5105
24	129	5053
25	134	5053
26	139	5015
27	144	5005
28	149	4989
29	152	4940
30	157	4929
31	163	4933
32	171	5022
33	177	5054
34	181	5010
35	185	4970
36	190	4960
37	196	4973
38	201	4958
39	206	4959
40	210	4935
41	214	4899
42	219	4875
43	224	4870
44	228	4839
45	232	4817
46	236	4792
47	242	4808
48	247	4805
49	252	4791
50	257	4794
51	262	4780
52	266	4756
53	271	4752
54	276	4744
55	280	4733
56	284	4709
57	290	4711
58	294	4689
59	298	4673
60	302	4657
61	307	4645
62	311	4627
63	314	4606
64	319	4602
65	323	4584
66	327	4563
67	331	4548
68	336	4541
69	340	4521
70	344	4507
71	348	4491
72	353	4488
73	357	4473
74	363	4487
75	368	4484
76	373	4477
77	379	4490
78	385	4491
79	411	4727
80	417	4740
81	423	4744
82	429	4741
83	434	4737
84	439	4727
85	443	4714
86	447	4697
87	452	4688
88	456	4670
89	460	4651
90	464	4642
91	470	4645
92	474	4631
93	479	4618
94	484	4612
95	487	4595
96	491	4578
97	496	4568
98	501	4560
99	505	4546
100	509	4534
101	513	4520
102	518	4514
103	522	4500
104	526	4490
105	532	4489
106	536	4476
107	540	4464
108	544	4449
109	550	4453
110	554	4442
111	558	4428
112	562	4418
113	569	4426
114	573	4415
115	577	4403
116	583	4401
117	587	4389
118	591	4378
119	595	4367
120	600	4363
121	605	4358
122	609	4347
123	615	4345
124	619	4333
125	623	4322
126	626	4309
127	632	4306
128	636	4296
129	640	4285
130	644	4275
131	649	4271
132	653	4261
133	657	4250
134	663	4251
135	667	4241
136	671	4230
137	675	4220
138	681	4219
139	686	4215
140	690	4204
141	695	4201
142	701	4201
143	705	4194
144	709	4184
145	714	4176
146	717	4166
147	721	4155
148	727	4153
149	731	4143
150	735	4132
151	739	4123
152	744	4119
153	748	4110
154	752	4101
155	756	4091
156	761	4088
157	765	4077
158	769	4069
159	773	4062
160	779	4060
161	783	4051
162	787	4044
163	792	4038
164	796	4028
165	800	4019
166	805	4015
167	810	4015
168	814	4005
169	819	3999
170	825	4003
171	830	3997
172	835	3994
173	840	3990
174	847	3994
175	852	3992
176	857	3988
177	862	3981
178	868	3982
179	873	3981
180	879	3981
181	884	3976
182	891	3978
183	896	3976
184	901	3972
185	906	3967
186	911	3962
187	915	3955
188	919	3946
189	924	3943
190	928	3933
191	932	3925
192	939	3927
193	943	3918
194	947	3911
195	951	3904
196	958	3905
197	964	3904
198	971	3908
199	976	3906
200	982	3904
201	987	3900
202	992	3895
203	996	3889
204	1001	3883
205	1006	3881
206	1011	3875
207	1015	3865
208	1020	3862
209	1027	3864
210	1032	3860
211	1037	3857
212	1042	3851
213	1046	3843
214	1052	3842
215	1057	3837
216	1061	3830
217	1065	3821
218	1070	3818
219	1074	3809
220	1078	3801
221	1083	3796
