iter	Passed	Remaining
0	3	345
1	6	304
2	8	267
3	10	248
4	13	251
5	15	241
6	17	230
7	19	223
8	22	226
9	24	218
10	26	214
11	28	209
12	30	205
13	32	201
14	34	197
15	36	193
16	39	191
17	42	193
18	44	190
19	47	188
20	49	186
21	51	182
22	53	178
23	55	175
24	57	172
25	59	169
26	61	166
27	66	171
28	68	168
29	70	165
30	72	162
31	75	159
32	77	157
33	80	155
34	82	152
35	84	149
36	87	148
37	89	145
38	91	142
39	93	140
40	95	137
41	97	134
42	100	132
43	102	130
44	104	127
45	106	125
46	108	122
47	110	120
48	113	118
49	115	115
50	117	112
51	119	110
52	121	107
53	124	106
54	126	103
55	128	101
56	130	98
57	132	96
58	134	93
59	137	91
60	139	89
61	142	87
62	144	84
63	146	82
64	148	80
65	151	77
66	153	75
67	155	73
68	157	70
69	159	68
70	162	66
71	164	64
72	167	61
73	169	59
74	172	57
75	175	55
76	177	53
77	179	50
78	182	48
79	184	46
80	186	43
81	189	41
82	191	39
83	193	36
84	195	34
85	197	32
86	199	29
87	201	27
88	204	25
89	207	23
90	209	20
91	211	18
92	213	16
93	215	13
94	217	11
95	219	9
96	221	6
97	222	4
98	227	2
99	229	0
